TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
33150SSTRK950NW,-80.21300000000001,25.840999999999998,False,12,086,001004,12,12086,12086001004,1400000US12086001004,SEASTRIKE BOATS LLC,950 NW 72ND ST,MIAMI,FL,33150,"SEASTRIKE BOATS LLC.950 NW 72ND ST, MIAMI FLORIDA 33150 (MIAMI-DADE)",0,C,,
33441LGNTM265NW,-80.10600000000001,26.32,False,12,011,010307,12,12011,12011010307,1400000US12011010307,ELEGANT HOME PRODUCTS DBA ELEG ANT MARBLE,265 NW 1ST ST,DEERFIELD BEACH,FL,33441,"ELEGANT HOME PRODUCTS DBA ELEG ANT MARBLE.265 NW 1ST ST, DEERFIELD BEACH FLORIDA 33441 (BROWARD)",0,C,,110002103955
33442MRCNM1498N,-80.124,26.320999999999998,False,12,011,010307,12,12011,12011010307,1400000US12011010307,AMERICAN MANUFACTURING SERVICES FLORIDA DIV,1498 NW 3RD ST,DEERFIELD BEACH,FL,33442,"AMERICAN MANUFACTURING SERVICES FLORIDA DIV.1498 NW 3RD ST, DEERFIELD BEACH FLORIDA 33442 (BROWARD)",0,C,,
33455PNRCN13000,-80.148,27.046999999999997,False,12,085,001404,12,12085,12085001404,1400000US12085001404,HANSON ROOF TILE - HOBE SOUND,13000 FLORA AVE,HOBE SOUND,FL,33455,"HANSON ROOF TILE - HOBE SOUND.13000 FLORA AVE, HOBE SOUND FLORIDA 33455 (MARTIN)",1,C,,110002103982
33525PSCCN14850,-82.189,28.375,False,12,101,032500,12,12101,12101032500,1400000US12101032500,PASCO COGENERATION LP,14850 OLD STATE RD 23,DADE CITY,FL,33525,"PASCO COGENERATION LP.14850 OLD STATE RD 23, DADE CITY FLORIDA 33525 (PASCO)",0,C,,
3352WSRCRT15246,-82.191,28.38,False,12,101,032500,12,12101,12101032500,1400000US12101032500,FENIX GROUP INC,15246 CITRUS COUNTRY DR,DADE CITY,FL,33523,"FENIX GROUP INC.15246 CITRUS COUNTRY DR, DADE CITY FLORIDA 33523 (PASCO)",0,C,,110070068146
33619CSTLN2520K,-81.99700000000001,28.081,False,12,105,012124,12,12105,12105012124,1400000US12105012124,COASTAL UNILUBE INC,2520 KNIGHTS STATION RD,LAKELAND,FL,33810,"COASTAL UNILUBE INC.2520 KNIGHTS STATION RD, LAKELAND FLORIDA 33810 (POLK)",0,C,,
33870LSCSB722WE,-81.446,27.5,False,12,055,960800,12,12055,12055960800,1400000US12055960800,TURF CARE SUPPLY CORP,422 WEBSTER TURN DR,SEBRING,FL,33870,"TURF CARE SUPPLY CORP.422 WEBSTER TURN DR, SEBRING FLORIDA 33870 (HIGHLANDS)",0,C,,110013792903
33982HDSNT5474W,-81.99799999999999,26.954,False,12,015,010200,12,12015,12015010200,1400000US12015010200,HUDSON TECHNOLOGIES CO,5474 WILLIAMSBURG DR,PUNTA GORDA,FL,33982,"HUDSON TECHNOLOGIES CO.5474 WILLIAMSBURG DR, PUNTA GORDA FLORIDA 33982 (CHARLOTTE)",0,C,,
34240SDCRN950BE,-82.446,27.326999999999998,False,12,115,001401,12,12115,12115001401,1400000US12115001401,JACKSON MARBLE INDUSTRIES (DBA MABLE SPECIAL),950 BELL ROAD,SARASOTA,FL,34240,"JACKSON MARBLE INDUSTRIES (DBA MABLE SPECIAL).950 BELL ROAD, SARASOTA FLORIDA 34240 (SARASOTA)",0,C,,
3424WFLRKN1579B,-82.444,27.322,False,12,115,001401,12,12115,12115001401,1400000US12115001401,FLORIKAN ESA LLC,1579 BARBER RD,SARASOTA,FL,34240,"FLORIKAN ESA LLC.1579 BARBER RD, SARASOTA FLORIDA 34240 (SARASOTA)",0,C,,110059224085
34491PNRCN13540,-82.094,29.025,False,12,083,000902,12,12083,12083000902,1400000US12083000902,HANSON ROOF TILE - SUMMERFIELD,13540 SE 31ST AVE..,SUMMERFIELD,FL,34491,"HANSON ROOF TILE - SUMMERFIELD.13540 SE 31ST AVE.., SUMMERFIELD FLORIDA 34491 (MARION)",0,C,,110002104785
34785JTTPR1200L,-82.03399999999999,28.875999999999998,False,12,119,911400,12,12119,12119911400,1400000US12119911400,JETTA PRODUCTS INC,1200 LEE ST,WILDWOOD,FL,34785,"JETTA PRODUCTS INC.1200 LEE ST, WILDWOOD FLORIDA 34785 (SUMTER)",0,C,,110005277930
34946MVRCK3054I,-80.355,27.489,False,12,111,381000,12,12111,12111381000,1400000US12111381000,MAVERICK BOAT CO,3207 INDUSTRIAL 29TH ST,FORT PIERCE,FL,34946,"MAVERICK BOAT CO.3207 INDUSTRIAL 29TH ST, FORT PIERCE FLORIDA 34946 (ST LUCIE)",0,C,,110001749252
34946BLWTR291IN,-80.354,27.493000000000002,False,12,111,381000,12,12111,12111381000,1400000US12111381000,BLUEWATER SPORTFISHIM BOATS INC,2901 INDUSTRIAL AVE 3,FORT PIERCE,FL,34946,"BLUEWATER SPORTFISHIM BOATS INC.2901 INDUSTRIAL AVE 3, FORT PIERCE FLORIDA 34946 (ST LUCIE)",0,C,,
34952FLRDM1673S,-80.304,27.299,False,12,111,381603,12,12111,12111381603,1400000US12111381603,FLORIDA MARBLE INDUSTRIES INC,1673 SE NIEMEYER CIRCLE,PORT SAINT LUCIE,FL,34952,"FLORIDA MARBLE INDUSTRIES INC.1673 SE NIEMEYER CIRCLE, PORT SAINT LUCIE FLORIDA 34952 (ST LUCIE)",0,C,,110002104847
34952TWNVP1650S,-80.3,27.305,False,12,111,381603,12,12111,12111381603,1400000US12111381603,TWIN VEE POWER CATS INC,1650 SE VILLAGE GREEN DR,PORT SAINT LUCIE,FL,34952,"TWIN VEE POWER CATS INC.1650 SE VILLAGE GREEN DR, PORT SAINT LUCIE FLORIDA 34952 (ST LUCIE)",0,C,,
32147MNTCRENDOF,-81.792,29.67,False,12,107,950202,12,12107,12107950202,1400000US12107950202,MONTCO RESEARCH PRODUCTS INC,END OF JANICE DR,HOLLISTER,FL,32147,"MONTCO RESEARCH PRODUCTS INC.END OF JANICE DR, HOLLISTER FLORIDA 32147 (PUTNAM)",0,C,,110001139571
32208NTDST6825E,-81.638,30.381999999999998,False,12,031,000100,12,12031,12031000100,1400000US12031000100,US GYPSUM CO,6825 EVERGREEN AVE,JACKSONVILLE,FL,32208,"US GYPSUM CO.6825 EVERGREEN AVE, JACKSONVILLE FLORIDA 32208 (DUVAL)",0,C,,110001737014
32208SHWSS821VI,-81.639,30.384,False,12,031,000100,12,12031,12031000100,1400000US12031000100,SHAWS SOUTHERN BELLE FROZEN FOODS INC,821 VIRGINIA ST,JACKSONVILLE,FL,32208,"SHAWS SOUTHERN BELLE FROZEN FOODS INC.821 VIRGINIA ST, JACKSONVILLE FLORIDA 32208 (DUVAL)",0,C,,110000509012
32304CTYFT1125G,-84.399,30.451999999999998,False,12,073,002701,12,12073,12073002701,1400000US12073002701,CITY OF TALLAHASSEE ARVAH B HOPKINS GENERATING STATION,1125 GEDDIE RD,TALLAHASSEE,FL,32304,"CITY OF TALLAHASSEE ARVAH B HOPKINS GENERATING STATION.1125 GEDDIE RD, TALLAHASSEE FLORIDA 32304 (LEON)",0,C,,110011349656
32305NYXSP342MA,-84.26899999999999,30.365,False,12,073,002603,12,12073,12073002603,1400000US12073002603,VEOLIA ES TECHNICAL SOLUTIONS LLC,342 MARPAN LN,TALLAHASSEE,FL,32305,"VEOLIA ES TECHNICAL SOLUTIONS LLC.342 MARPAN LN, TALLAHASSEE FLORIDA 32305 (LEON)",0,C,,110013763597
