TRI_CHEM_INFO.TRI_CHEM_ID,TRI_CHEM_INFO.CHEM_NAME,TRI_CHEM_INFO.ACTIVE_DATE,TRI_CHEM_INFO.INACTIVE_DATE,TRI_CHEM_INFO.CAAC_IND,TRI_CHEM_INFO.CARC_IND,TRI_CHEM_INFO.R3350_IND,TRI_CHEM_INFO.METAL_IND,TRI_CHEM_INFO.FEDS_IND,TRI_CHEM_INFO.CLASSIFICATION,TRI_CHEM_INFO.PBT_START_YEAR,TRI_CHEM_INFO.PBT_END_YEAR,TRI_CHEM_INFO.NO_DECIMALS,TRI_CHEM_INFO.UNIT_OF_MEASURE,TRI_CHEM_INFO.CAS_REGISTRY_NUMBER,TRI_CHEM_INFO.SRS_ID,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81C,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81D,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_87,TRI_CHEM_INFO.PFAS_IND,
"0000100016","p-Nitroaniline","1995","9999","0","0","0","0","0","0","","","","Pounds","100-01-6","19109","1","54","45","0"
"0000062748","Sodium fluoroacetate","1995","9999","0","0","0","0","0","0","","","","Pounds","62-74-8","3699","1","25","74","0"
"0000088891","Picric acid","1987","9999","0","0","0","0","0","0","","","","Pounds","88-89-1","12070","1","78","21","0"
"0000422480","2,3-dichloro-1,1,1,2,3-pentafluoropropane (HCFC-225ba)","1995","9999","0","0","0","0","0","0","","","","Pounds","422-48-0","45211","0","0","100","0"
"0001328536","C.I. Pigment Green 7","1987","1989","0","0","0","0","0","0","","","","Pounds","1328-53-6","84921","0","0","100","0"
"0007440622","Vanadium (except when contained in an alloy)","1987","9999","0","0","0","4","0","0","","","","Pounds","7440-62-2","150193","32","68","0","0"
"0000057147","1,1-Dimethylhydrazine","1987","9999","1","1","0","0","0","0","","","","Pounds","57-14-7","2469","1","25","74","0"
"0090454185","Dichloro-1,1,2-trifluoroethane","1994","9999","0","0","0","0","0","0","","","","Pounds","90454-18-5","602110","0","0","100","0"
"0000075150","Carbon disulfide","1987","9999","1","0","0","0","0","0","","","","Pounds","75-15-0","5348","1","87","12","0"
"0000091225","Quinoline","1987","9999","1","0","0","0","0","0","","","","Pounds","91-22-5","13342","1","24","75","0"
"0000098953","Nitrobenzene","1987","9999","1","1","0","0","0","0","","","","Pounds","98-95-3","18408","0","8","92","0"
"0000107131","Acrylonitrile","1987","9999","1","1","0","0","0","0","","","","Pounds","107-13-1","24182","0","9","91","0"
"0000842079","C.I. Solvent Yellow 14","1987","9999","0","0","0","0","0","0","","","","Pounds","842-07-9","72025","0","0","100","0"
"0000087683","Hexachloro-1,3-butadiene","1987","9999","1","0","0","0","0","0","","","","Pounds","87-68-3","11346","45","23","32","0"
"0007786347","Mevinphos","1995","9999","0","0","0","0","0","0","","","","Pounds","7786-34-7","155309","0","0","100","0"
"0000156627","Calcium cyanamide","1987","9999","1","0","0","0","0","0","","","","Pounds","156-62-7","40477","2","98","0","0"
"0000062533","Aniline","1987","9999","1","0","0","0","0","0","","","","Pounds","62-53-3","3632","0","8","92","0"
"0000075252","Bromoform","1987","9999","1","0","0","0","0","0","","","","Pounds","75-25-2","5447","2","57","41","0"
"0000091203","Naphthalene","1987","9999","1","1","0","0","0","0","","","","Pounds","91-20-3","13326","4","6","90","0"
"0000100414","Ethylbenzene","1987","9999","1","1","0","0","0","0","","","","Pounds","100-41-4","19406","3","45","52","0"
"0000124732","Dibromotetrafluoroethane","1991","9999","0","0","0","0","0","0","","","","Pounds","124-73-2","33654","2","97","1","0"
"0000151564","Ethyleneimine","1987","9999","1","1","0","0","0","0","","","","Pounds","151-56-4","40279","1","55","44","0"
"0000612828","3,3'-Dimethylbenzidine dihydrochloride","1995","9999","0","1","0","0","0","0","","","","Pounds","612-82-8","60111","0","0","100","0"
"0001634044","Methyl tert-butyl ether","1987","9999","1","0","0","0","0","0","","","","Pounds","1634-04-4","89870","1","60","39","0"
"0007440224","Silver","1987","9999","0","0","0","1","0","0","","","","Pounds","7440-22-4","149849","66","34","0","0"
"0039156417","2,4-Diaminoanisole sulfate","1987","9999","0","1","0","0","0","0","","","","Pounds","39156-41-7","278382","0","0","100","0"
"0000076153","Monochloropentafluoroethane (CFC-115)","1991","9999","0","0","0","0","0","0","","","","Pounds","76-15-3","6163","1","98","1","0"
"N511","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","1995","9999","0","0","0","0","0","0","","","","Pounds","N511","649616","0","10","90","0"
"0000067641","Acetone","1987","1993","0","0","0","0","0","0","","","","Pounds","67-64-1","4309","0","0","100","0"
"0000075274","Dichlorobromomethane","1987","9999","0","1","0","0","0","0","","","","Pounds","75-27-4","5462","1","68","31","0"
"0000103231","Bis(2-ethylhexyl) adipate","1987","1994","0","0","0","0","0","0","","","","Pounds","103-23-1","21238","0","0","100","0"
"0000117817","Di(2-ethylhexyl) phthalate","1987","9999","1","1","0","0","0","0","","","","Pounds","117-81-7","29934","38","0","62","0"
"0001464535","Diepoxybutane","1987","9999","0","1","0","0","0","0","","","","Pounds","1464-53-5","87114","1","25","74","0"
"0007757826","Sodium sulfate (solution)","1987","1987","0","0","0","0","0","0","","","","Pounds","7757-82-6","153320","0","0","100","0"
"0072178020","Fomesafen","1995","9999","0","0","0","0","0","0","","","","Pounds","72178-02-0","556662","3","47","50","0"
"0101200480","Tribenuron-methyl","1995","9999","0","0","0","0","0","0","","","","Pounds","101200-48-0","611475","2","22","76","0"
"0000095534","o-Toluidine","1987","9999","1","1","0","0","0","0","","","","Pounds","95-53-4","16196","0","94","6","0"
