field,type,nullable,comment,metadata
007723140,float,True,PHOSPHORUS (YELLOW OR WHITE),'metadata': {'comment': 'PHOSPHORUS (YELLOW OR WHITE)'}
N982,float,True,ZINC COMPOUNDS,'metadata': {'comment': 'ZINC COMPOUNDS'}
000079221,float,True,METHYL CHLOROCARBONATE,'metadata': {'comment': 'METHYL CHLOROCARBONATE'}
000098862,float,True,ACETOPHENONE,'metadata': {'comment': 'ACETOPHENONE'}
001120714,float,True,PROPANE SULTONE,'metadata': {'comment': 'PROPANE SULTONE'}
007440508,float,True,COPPER,'metadata': {'comment': 'COPPER'}
N760,float,True,THALLIUM COMPOUNDS,'metadata': {'comment': 'THALLIUM COMPOUNDS'}
000059892,float,True,N-NITROSOMORPHOLINE,'metadata': {'comment': 'N-NITROSOMORPHOLINE'}
000071432,float,True,BENZENE,'metadata': {'comment': 'BENZENE'}
000075218,float,True,ETHYLENE OXIDE,'metadata': {'comment': 'ETHYLENE OXIDE'}
000076131,float,True,FREON 113,'metadata': {'comment': 'FREON 113'}
000090437,float,True,2-PHENYLPHENOL,'metadata': {'comment': '2-PHENYLPHENOL'}
000106503,float,True,P-PHENYLENEDIAMINE,'metadata': {'comment': 'P-PHENYLENEDIAMINE'}
000108394,float,True,M-CRESOL,'metadata': {'comment': 'M-CRESOL'}
000115286,float,True,CHLORENDIC ACID,'metadata': {'comment': 'CHLORENDIC ACID'}
000123637,float,True,PARALDEHYDE,'metadata': {'comment': 'PARALDEHYDE'}
000354256,float,True,"1-CHLORO-1,1,2,2-TETRAFLUOROETHANE","'metadata': {'comment': '1-CHLORO-1,1,2,2-TETRAFLUOROETHANE'}"
000680319,float,True,HEXAMETHYLPHOSPHORAMIDE,'metadata': {'comment': 'HEXAMETHYLPHOSPHORAMIDE'}
069409945,float,True,FLUVALINATE,'metadata': {'comment': 'FLUVALINATE'}
000510156,float,True,CHLOROBENZILATE,'metadata': {'comment': 'CHLOROBENZILATE'}
068359375,float,True,CYFLUTHRIN,'metadata': {'comment': 'CYFLUTHRIN'}
N874,float,True,WARFARIN AND SALTS,'metadata': {'comment': 'WARFARIN AND SALTS'}
000063252,float,True,CARBARYL,'metadata': {'comment': 'CARBARYL'}
000075718,float,True,DICHLORODIFLUOROMETHANE,'metadata': {'comment': 'DICHLORODIFLUOROMETHANE'}
000085449,float,True,PHTHALIC ANHYDRIDE,'metadata': {'comment': 'PHTHALIC ANHYDRIDE'}
000107211,float,True,ETHYLENE GLYCOL,'metadata': {'comment': 'ETHYLENE GLYCOL'}
000120365,float,True,"2,4-DP","'metadata': {'comment': '2,4-DP'}"
002032657,float,True,METHIOCARB,'metadata': {'comment': 'METHIOCARB'}
069806504,float,True,FLUAZIFOP BUTYL,'metadata': {'comment': 'FLUAZIFOP BUTYL'}
000091087,float,True,"TOLUENE-2,6-DIISOCYANATE","'metadata': {'comment': 'TOLUENE-2,6-DIISOCYANATE'}"
000100016,float,True,P-NITROANILINE,'metadata': {'comment': 'P-NITROANILINE'}
000062748,float,True,SODIUM FLUOROACETATE,'metadata': {'comment': 'SODIUM FLUOROACETATE'}
000088891,float,True,PICRIC ACID,'metadata': {'comment': 'PICRIC ACID'}
000422480,float,True,"2,3-DICHLORO-1,1,1,2,3-PENTAFLUOROPROPANE","'metadata': {'comment': '2,3-DICHLORO-1,1,1,2,3-PENTAFLUOROPROPANE'}"
001328536,float,True,C.I. PIGMENT GREEN 7,'metadata': {'comment': 'C.I. PIGMENT GREEN 7'}
007440622,float,True,VANADIUM (EXCEPT WHEN CONTAINED IN AN ALLOY),'metadata': {'comment': 'VANADIUM (EXCEPT WHEN CONTAINED IN AN ALLOY)'}
000057147,float,True,"1,1-DIMETHYL HYDRAZINE","'metadata': {'comment': '1,1-DIMETHYL HYDRAZINE'}"
090454185,float,True,"DICHLORO-1,1,2-TRIFLUOROETHANE","'metadata': {'comment': 'DICHLORO-1,1,2-TRIFLUOROETHANE'}"
000075150,float,True,CARBON DISULFIDE,'metadata': {'comment': 'CARBON DISULFIDE'}
000091225,float,True,QUINOLINE,'metadata': {'comment': 'QUINOLINE'}
000098953,float,True,NITROBENZENE,'metadata': {'comment': 'NITROBENZENE'}
000107131,float,True,ACRYLONITRILE,'metadata': {'comment': 'ACRYLONITRILE'}
000842079,float,True,C.I. SOLVENT YELLOW 14,'metadata': {'comment': 'C.I. SOLVENT YELLOW 14'}
000087683,float,True,"HEXACHLORO-1,3-BUTADIENE","'metadata': {'comment': 'HEXACHLORO-1,3-BUTADIENE'}"
007786347,float,True,MEVINPHOS,'metadata': {'comment': 'MEVINPHOS'}
000156627,float,True,CALCIUM CYANAMIDE,'metadata': {'comment': 'CALCIUM CYANAMIDE'}
000062533,float,True,ANILINE,'metadata': {'comment': 'ANILINE'}
000075252,float,True,BROMOFORM,'metadata': {'comment': 'BROMOFORM'}
000091203,float,True,NAPHTHALENE,'metadata': {'comment': 'NAPHTHALENE'}
000100414,float,True,ETHYLBENZENE,'metadata': {'comment': 'ETHYLBENZENE'}
000124732,float,True,DIBROMOTETRAFLUOROETHANE,'metadata': {'comment': 'DIBROMOTETRAFLUOROETHANE'}
000151564,float,True,ETHYLENEIMINE,'metadata': {'comment': 'ETHYLENEIMINE'}
000612828,float,True,"3,3'-DIMETHYLBENZIDINE DIHYDROCHLORIDE","'metadata': {'comment': '3,3'-DIMETHYLBENZIDINE DIHYDROCHLORIDE'}"
001634044,float,True,METHYL TERT-BUTYL ETHER,'metadata': {'comment': 'METHYL TERT-BUTYL ETHER'}
007440224,float,True,SILVER,'metadata': {'comment': 'SILVER'}
039156417,float,True,"2,4-DIAMINOANISOLE SULFATE","'metadata': {'comment': '2,4-DIAMINOANISOLE SULFATE'}"
000076153,float,True,MONOCHLOROPENTAFLUOROETHANE,'metadata': {'comment': 'MONOCHLOROPENTAFLUOROETHANE'}
N511,float,True,NITRATE COMPOUNDS,'metadata': {'comment': 'NITRATE COMPOUNDS'}
000067641,float,True,ACETONE,'metadata': {'comment': 'ACETONE'}
000075274,float,True,DICHLOROBROMOMETHANE,'metadata': {'comment': 'DICHLOROBROMOMETHANE'}
000103231,float,True,BIS(2-ETHYLHEXYL) ADIPATE,'metadata': {'comment': 'BIS(2-ETHYLHEXYL) ADIPATE'}
000117817,float,True,DI(2-ETHYLHEXYL) PHTHALATE,'metadata': {'comment': 'DI(2-ETHYLHEXYL) PHTHALATE'}
001464535,float,True,DIEPOXYBUTANE,'metadata': {'comment': 'DIEPOXYBUTANE'}
007757826,float,True,SODIUM SULFATE (SOLUTION),'metadata': {'comment': 'SODIUM SULFATE (SOLUTION)'}
072178020,float,True,FOMESAFEN,'metadata': {'comment': 'FOMESAFEN'}
101200480,float,True,TRIBENURON METHYL,'metadata': {'comment': 'TRIBENURON METHYL'}
000095534,float,True,O-TOLUIDINE,'metadata': {'comment': 'O-TOLUIDINE'}
000051752,float,True,NITROGEN MUSTARD,'metadata': {'comment': 'NITROGEN MUSTARD'}
000099309,float,True,DICHLORAN,'metadata': {'comment': 'DICHLORAN'}
000109068,float,True,2-METHYLPYRIDINE,'metadata': {'comment': '2-METHYLPYRIDINE'}
064969342,float,True,"3,3'-DICHLOROBENZIDINE SULFATE","'metadata': {'comment': '3,3'-DICHLOROBENZIDINE SULFATE'}"
000612839,float,True,"3,3'-DICHLOROBENZIDINE DIHYDROCHLORIDE","'metadata': {'comment': '3,3'-DICHLOROBENZIDINE DIHYDROCHLORIDE'}"
N010,float,True,ANTIMONY COMPOUNDS,'metadata': {'comment': 'ANTIMONY COMPOUNDS'}
N020,float,True,ARSENIC COMPOUNDS,'metadata': {'comment': 'ARSENIC COMPOUNDS'}
N050,float,True,BERYLLIUM COMPOUNDS,'metadata': {'comment': 'BERYLLIUM COMPOUNDS'}
N084,float,True,CHLOROPHENOLS,'metadata': {'comment': 'CHLOROPHENOLS'}
N096,float,True,COBALT COMPOUNDS,'metadata': {'comment': 'COBALT COMPOUNDS'}
N171,float,True,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS","'metadata': {'comment': 'ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS'}"
N450,float,True,MANGANESE COMPOUNDS,'metadata': {'comment': 'MANGANESE COMPOUNDS'}
N503,float,True,NICOTINE AND SALTS,'metadata': {'comment': 'NICOTINE AND SALTS'}
N575,float,True,POLYBROMINATED BIPHENYLS,'metadata': {'comment': 'POLYBROMINATED BIPHENYLS'}
N583,float,True,POLYCHLORINATED ALKANES,'metadata': {'comment': 'POLYCHLORINATED ALKANES'}
N725,float,True,SELENIUM COMPOUNDS,'metadata': {'comment': 'SELENIUM COMPOUNDS'}
000050000,float,True,FORMALDEHYDE,'metadata': {'comment': 'FORMALDEHYDE'}
000052686,float,True,TRICHLORFON,'metadata': {'comment': 'TRICHLORFON'}
000055389,float,True,FENTHION,'metadata': {'comment': 'FENTHION'}
000055630,float,True,NITROGLYCERIN,'metadata': {'comment': 'NITROGLYCERIN'}
000056359,float,True,BIS(TRIBUTYLTIN) OXIDE,'metadata': {'comment': 'BIS(TRIBUTYLTIN) OXIDE'}
000057410,float,True,PHENYTOIN,'metadata': {'comment': 'PHENYTOIN'}
000057749,float,True,CHLORDANE,'metadata': {'comment': 'CHLORDANE'}
000060093,float,True,4-AMINOAZOBENZENE,'metadata': {'comment': '4-AMINOAZOBENZENE'}
000060355,float,True,ACETAMIDE,'metadata': {'comment': 'ACETAMIDE'}
000060515,float,True,DIMETHOATE,'metadata': {'comment': 'DIMETHOATE'}
000062737,float,True,DICHLORVOS,'metadata': {'comment': 'DICHLORVOS'}
000064755,float,True,TETRACYCLINE HYDROCHLORIDE,'metadata': {'comment': 'TETRACYCLINE HYDROCHLORIDE'}
000067663,float,True,CHLOROFORM,'metadata': {'comment': 'CHLOROFORM'}
000068768,float,True,TRIAZIQUONE,'metadata': {'comment': 'TRIAZIQUONE'}
000071556,float,True,"1,1,1-TRICHLOROETHANE","'metadata': {'comment': '1,1,1-TRICHLOROETHANE'}"
000072571,float,True,TRYPAN BLUE,'metadata': {'comment': 'TRYPAN BLUE'}
000074884,float,True,METHYL IODIDE,'metadata': {'comment': 'METHYL IODIDE'}
000074908,float,True,HYDROGEN CYANIDE,'metadata': {'comment': 'HYDROGEN CYANIDE'}
000075003,float,True,CHLOROETHANE,'metadata': {'comment': 'CHLOROETHANE'}
000075092,float,True,DICHLOROMETHANE,'metadata': {'comment': 'DICHLOROMETHANE'}
000075354,float,True,VINYLIDENE CHLORIDE,'metadata': {'comment': 'VINYLIDENE CHLORIDE'}
000075456,float,True,CHLORODIFLUOROMETHANE,'metadata': {'comment': 'CHLORODIFLUOROMETHANE'}
000075683,float,True,"1-CHLORO-1,1-DIFLUOROETHANE","'metadata': {'comment': '1-CHLORO-1,1-DIFLUOROETHANE'}"
000075729,float,True,CHLOROTRIFLUOROMETHANE,'metadata': {'comment': 'CHLOROTRIFLUOROMETHANE'}
000076017,float,True,PENTACHLOROETHANE,'metadata': {'comment': 'PENTACHLOROETHANE'}
000076062,float,True,CHLOROPICRIN,'metadata': {'comment': 'CHLOROPICRIN'}
000076142,float,True,DICHLOROTETRAFLUOROETHANE (CFC-114),'metadata': {'comment': 'DICHLOROTETRAFLUOROETHANE (CFC-114)'}
000076448,float,True,HEPTACHLOR,'metadata': {'comment': 'HEPTACHLOR'}
000077781,float,True,DIMETHYL SULFATE,'metadata': {'comment': 'DIMETHYL SULFATE'}
000078875,float,True,"1,2-DICHLOROPROPANE","'metadata': {'comment': '1,2-DICHLOROPROPANE'}"
000078922,float,True,SEC-BUTYL ALCOHOL,'metadata': {'comment': 'SEC-BUTYL ALCOHOL'}
000078933,float,True,METHYL ETHYL KETONE,'metadata': {'comment': 'METHYL ETHYL KETONE'}
000079005,float,True,"1,1,2-TRICHLOROETHANE","'metadata': {'comment': '1,1,2-TRICHLOROETHANE'}"
000079118,float,True,CHLOROACETIC ACID,'metadata': {'comment': 'CHLOROACETIC ACID'}
000079447,float,True,DIMETHYLCARBAMYL CHLORIDE,'metadata': {'comment': 'DIMETHYLCARBAMYL CHLORIDE'}
000080159,float,True,CUMENE HYDROPEROXIDE,'metadata': {'comment': 'CUMENE HYDROPEROXIDE'}
000082280,float,True,1-AMINO-2-METHYLANTHRAQUINONE,'metadata': {'comment': '1-AMINO-2-METHYLANTHRAQUINONE'}
000082688,float,True,QUINTOZENE,'metadata': {'comment': 'QUINTOZENE'}
000084662,float,True,DIETHYL PHTHALATE,'metadata': {'comment': 'DIETHYL PHTHALATE'}
000086306,float,True,N-NITROSODIPHENYLAMINE,'metadata': {'comment': 'N-NITROSODIPHENYLAMINE'}
000087627,float,True,"2,6-XYLIDINE","'metadata': {'comment': '2,6-XYLIDINE'}"
000088062,float,True,"2,4,6-TRICHLOROPHENOL","'metadata': {'comment': '2,4,6-TRICHLOROPHENOL'}"
000090040,float,True,O-ANISIDINE,'metadata': {'comment': 'O-ANISIDINE'}
000764410,float,True,"1,4-DICHLORO-2-BUTENE","'metadata': {'comment': '1,4-DICHLORO-2-BUTENE'}"
002212671,float,True,MOLINATE,'metadata': {'comment': 'MOLINATE'}
002699798,float,True,SULFURYL FLUORIDE,'metadata': {'comment': 'SULFURYL FLUORIDE'}
007439921,float,True,LEAD,'metadata': {'comment': 'LEAD'}
008001352,float,True,TOXAPHENE,'metadata': {'comment': 'TOXAPHENE'}
016543558,float,True,N-NITROSONORNICOTINE,'metadata': {'comment': 'N-NITROSONORNICOTINE'}
025376458,float,True,DIAMINOTOLUENE (MIXED ISOMERS),'metadata': {'comment': 'DIAMINOTOLUENE (MIXED ISOMERS)'}
127564925,float,True,DICHLOROPENTAFLUOROPROPANE,'metadata': {'comment': 'DICHLOROPENTAFLUOROPROPANE'}
000094597,float,True,SAFROLE,'metadata': {'comment': 'SAFROLE'}
035554440,float,True,IMAZALIL,'metadata': {'comment': 'IMAZALIL'}
002312358,float,True,PROPARGITE,'metadata': {'comment': 'PROPARGITE'}
000333415,float,True,DIAZINON,'metadata': {'comment': 'DIAZINON'}
N120,float,True,DIISOCYANATES,'metadata': {'comment': 'DIISOCYANATES'}
005234684,float,True,CARBOXIN,'metadata': {'comment': 'CARBOXIN'}
000079210,float,True,PERACETIC ACID,'metadata': {'comment': 'PERACETIC ACID'}
013463406,float,True,IRON PENTACARBONYL,'metadata': {'comment': 'IRON PENTACARBONYL'}
